SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2016-17,Capital Region ESD 113,34,Thurston,34402,Tenino School District,1246,15,1.2,4,0.32,1,0.08,5,0.4,2,0.16,92,7.38,1077,86.44,55,4.41,680,54.57,566,45.43,4,0.32,12,0.95,174,13.73,591,46.65,16,1.26,20,1.58,17,13.2,48,64.86
2016-17,Educational Service District 105,19,Kittitas,19400,Thorp School District,142,2,1.41,0,0,0,0,0,0,0,0,9,6.34,126,88.73,5,3.52,76,53.52,66,46.48,0,0,0,0,23,16.91,61,44.85,2,1.47,N<10,,9,13.6,8,53.33
2016-17,Capital Region ESD 113,21,Lewis,21237,Toledo School District,783,17,2.17,6,0.77,1,0.13,7,0.89,4,0.51,77,9.83,642,81.99,36,4.6,418,53.38,365,46.62,0,0,16,2.02,129,16.27,376,47.41,10,1.26,N<10,,17,14.7,39,86.67
2016-17,North Central Educational Service District 171,24,Okanogan,24404,Tonasket School District,1177,9,0.76,2,0.17,1,0.08,3,0.25,3,0.25,435,36.96,681,57.86,46,3.91,616,52.34,561,47.66,168,14.45,170,14.62,134,11.52,738,63.46,14,1.2,13,1.12,17,14.1,45,63.38
2016-17,Educational Service District 105,39,Yakima,39202,Toppenish School District,4586,537,11.71,34,0.74,0,0,34,0.74,15,0.33,3296,71.87,666,14.52,38,0.83,2332,50.85,2254,49.15,751,16.27,1483,32.12,598,12.95,3641,78.86,78,1.69,49,1.06,22,10.7,123,60.29
2016-17,Educational Service District 123,36,Walla Walla,36300,Touchet School District,204,3,1.47,0,0,0,0,0,0,0,0,107,52.45,92,45.1,2,0.98,109,53.43,95,46.57,7,3.29,36,16.9,28,13.15,123,57.75,5,2.35,N<10,,11,21,13,68.42
2016-17,Educational Service District 112,08,Cowlitz,08130,Toutle Lake School District,658,6,0.91,6,0.91,0,0,6,0.91,3,0.46,47,7.14,572,86.93,24,3.65,350,53.19,308,46.81,0,0,0,0,79,11.86,243,36.49,17,2.55,N<10,,18,18.5,25,69.44
2016-17,Educational Service District 112,20,Klickitat,20400,Trout Lake School District,206,5,2.43,4,1.94,0,0,4,1.94,2,0.97,28,13.59,152,73.79,15,7.28,96,46.6,110,53.4,0,0,6,3.06,23,11.73,0,0.00,4,2.04,N<10,,11,13.7,13,72.22
2016-17,Puget Sound Educational Service District 121,17,King,17406,Tukwila School District,2990,28,0.94,842,28.16,110,3.68,952,31.84,586,19.6,866,28.96,360,12.04,198,6.62,1532,51.24,1458,48.76,4,0.14,1137,38.4,275,9.29,2150,72.61,33,1.11,24,0.81,17,10.9,125,71.43
2016-17,Capital Region ESD 113,34,Thurston,34033,Tumwater School District,6617,41,0.62,200,3.02,33,0.5,233,3.52,102,1.54,782,11.82,4836,73.08,622,9.4,3435,51.91,3182,48.09,0,0,174,2.62,863,12.98,1935,29.10,196,2.95,55,0.83,18,15,248,67.57
2016-17,Educational Service District 105,39,Yakima,39002,Union Gap School District,648,11,1.7,6,0.93,0,0,6,0.93,1,0.15,510,78.7,108,16.67,12,1.85,333,51.39,315,48.61,43,6.91,192,30.87,72,11.58,563,90.51,3,0.48,N<10,,18,12.1,17,47.22
2016-17,Puget Sound Educational Service District 121,27,Pierce,27083,University Place School District,5711,30,0.53,542,9.49,55,0.96,597,10.45,522,9.14,793,13.89,2814,49.27,955,16.72,2915,51.04,2796,48.96,1,0.02,321,5.61,658,11.49,2096,36.60,220,3.84,29,0.51,19,16,213,69.38
2016-17,Educational Service District 101,33,Stevens,33070,Valley School District,760,6,0.79,28,3.68,2,0.26,30,3.95,9,1.18,87,11.45,574,75.53,54,7.11,389,51.18,371,48.82,0,0,10,1.31,87,11.36,182,23.76,0,0,N<10,,19,13.5,25,64.1
2016-17,Educational Service District 112,06,Clark,06037,Vancouver School District,23860,125,0.52,773,3.24,460,1.93,1233,5.17,612,2.56,6161,25.82,13894,58.23,1835,7.69,12230,51.26,11630,48.74,58,0.24,3078,12.98,3134,13.22,11448,48.29,596,2.51,177,0.75,18,10.9,962,72.33
2016-17,Puget Sound Educational Service District 121,17,King,17402,Vashon Island School District,1620,5,0.31,35,2.16,1,0.06,36,2.22,13,0.8,189,11.67,1221,75.37,156,9.63,864,53.33,756,46.67,0,0,59,3.68,200,12.48,346,21.60,109,6.8,N<10,,16,11.9,71,71.72
2016-17,Educational Service District 112,35,Wahkiakum,35200,Wahkiakum School District,441,4,0.91,3,0.68,2,0.45,5,1.13,4,0.91,38,8.62,369,83.67,21,4.76,226,51.25,215,48.75,0,0,16,3.6,91,20.5,258,58.11,14,3.15,15,3.38,13,16.8,25,75.76
2016-17,Educational Service District 105,13,Grant,13073,Wahluke School District,2472,15,0.61,0,0,0,0,0,0,1,0.04,2368,95.79,83,3.36,5,0.2,1281,51.82,1191,48.18,703,29.86,1389,59.01,333,14.15,,>95%,33,1.4,N<10,,18,8.2,63,45.32
2016-17,Educational Service District 123,36,Walla Walla,36401,Waitsburg School District,299,1,0.33,5,1.67,0,0,5,1.67,0,0,39,13.04,241,80.6,13,4.35,166,55.52,133,44.48,0,0,7,2.29,47,15.36,154,50.33,0,0,N<10,,14,19,14,66.67
