SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2016-17,Educational Service District 123,36,Walla Walla,36140,Walla Walla Public Schools,5872,27,0.46,73,1.24,11,0.19,84,1.43,52,0.89,2234,38.04,3273,55.74,202,3.44,2966,50.51,2906,49.49,78,1.34,722,12.36,812,13.9,3196,54.71,170,2.91,69,1.18,17,15.1,262,74.86
2016-17,Educational Service District 105,39,Yakima,39207,Wapato School District,3319,665,20.04,53,1.6,3,0.09,56,1.69,1,0.03,2389,71.98,103,3.1,105,3.16,1756,52.91,1563,47.09,743,22.19,1128,33.68,389,11.62,2952,88.15,27,0.81,46,1.37,17,10.9,102,53.4
2016-17,North Central Educational Service District 171,13,Grant,13146,Warden School District,997,0,0,2,0.2,0,0,2,0.2,4,0.4,804,80.64,177,17.75,10,1,482,48.35,515,51.65,223,22.5,317,31.99,151,15.24,815,82.24,14,1.41,N<10,,16,7.4,30,48.39
2016-17,Educational Service District 112,06,Clark,06112,Washougal School District,3257,16,0.49,44,1.35,7,0.21,51,1.57,22,0.68,327,10.04,2634,80.87,207,6.36,1686,51.77,1571,48.23,2,0.06,90,2.81,442,13.78,1093,34.07,116,3.62,32,1,17,12.4,120,63.16
2016-17,Educational Service District 101,01,Adams,01109,Washtucna School District,49,0,0,0,0,0,0,0,0,0,0,5,10.2,44,89.8,0,0,29,59.18,20,40.82,0,0,0,0,7,14.29,37,75.51,0,0,N<10,,4,16,7,53.85
2016-17,North Central Educational Service District 171,09,Douglas,09209,Waterville School District,278,8,2.88,1,0.36,0,0,1,0.36,0,0,65,23.38,196,70.5,8,2.88,135,48.56,143,51.44,15,5.36,21,7.5,48,17.14,154,55.00,3,1.07,N<10,,13,13,12,57.14
2016-17,Educational Service District 101,33,Stevens,33049,Wellpinit School District,411,268,65.21,1,0.24,1,0.24,2,0.49,3,0.73,34,8.27,50,12.17,54,13.14,233,56.69,178,43.31,2,0.48,0,0,57,13.64,321,76.79,3,0.72,25,5.98,12,13.1,21,61.76
2016-17,North Central Educational Service District 171,04,Chelan,04246,Wenatchee School District,7735,25,0.32,63,0.81,5,0.06,68,0.88,37,0.48,3901,50.43,3511,45.39,193,2.5,4022,52,3713,48,1263,16.35,1906,24.67,936,12.11,4224,54.67,374,4.84,50,0.65,16,13.7,302,62.27
2016-17,Educational Service District 101,32,Spokane,32363,West Valley School District (Spokane),3774,35,0.93,46,1.22,6,0.16,52,1.38,70,1.85,319,8.45,2985,79.09,313,8.29,1979,52.44,1795,47.56,0,0,83,2.19,592,15.62,1860,49.06,112,2.95,39,1.03,16,13.8,141,60.26
2016-17,Educational Service District 105,39,Yakima,39208,West Valley School District (Yakima),5245,48,0.92,127,2.42,11,0.21,138,2.63,38,0.72,1557,29.69,3283,62.59,181,3.45,2677,51.04,2568,48.96,48,0.89,359,6.66,756,14.02,2318,42.98,103,1.91,39,0.72,20,15,160,61.3
2016-17,Capital Region ESD 113,21,Lewis,21303,White Pass School District,429,5,1.17,0,0,0,0,0,0,5,1.17,28,6.53,386,89.98,5,1.17,216,50.35,213,49.65,0,0,0,0,86,20.43,274,65.08,7,1.66,N<10,,17,15.9,16,61.54
2016-17,Puget Sound Educational Service District 121,27,Pierce,27416,White River School District,3719,24,0.65,37,0.99,3,0.08,40,1.08,26,0.7,387,10.41,3045,81.88,197,5.3,1940,52.16,1779,47.84,0,0,84,2.24,534,14.26,1010,26.97,128,3.42,39,1.04,19,14.7,115,58.08
2016-17,Educational Service District 112,20,Klickitat,20405,White Salmon Valley School District,1297,10,0.77,6,0.46,1,0.08,7,0.54,2,0.15,428,33,814,62.76,36,2.78,694,53.51,603,46.49,26,1.99,191,14.64,219,16.78,572,43.83,16,1.23,12,0.92,18,15.9,54,75
2016-17,Educational Service District 101,22,Lincoln,22200,Wilbur School District,276,20,7.25,1,0.36,3,1.09,4,1.45,1,0.36,13,4.71,217,78.62,21,7.61,146,52.9,130,47.1,4,1.46,0,0,37,13.5,102,37.23,1,0.36,N<10,,13,16.2,15,68.18
2016-17,Capital Region ESD 113,25,Pacific,25160,Willapa Valley School District,338,2,0.59,2,0.59,0,0,2,0.59,0,0,45,13.31,273,80.77,16,4.73,166,49.11,172,50.89,1,0.3,5,1.48,58,17.16,162,47.93,6,1.78,N<10,,13,18,15,57.69
2016-17,North Central Educational Service District 171,13,Grant,13167,Wilson Creek School District,150,1,0.67,1,0.67,0,0,1,0.67,1,0.67,33,22,113,75.33,1,0.67,70,46.67,80,53.33,0,0,9,6.16,14,9.59,75,51.37,1,0.68,N<10,,11,21,12,85.71
2016-17,Capital Region ESD 113,21,Lewis,21232,Winlock School District,692,5,0.72,3,0.43,0,0,3,0.43,2,0.29,171,24.71,477,68.93,34,4.91,378,54.62,314,45.38,81,11.84,78,11.4,150,21.93,533,77.92,11,1.61,N<10,,17,16.7,30,73.17
2016-17,Capital Region ESD 113,14,Grays Harbor,14117,Wishkah Valley School District,163,0,0,0,0,0,0,0,0,1,0.61,2,1.23,160,98.16,0,0,75,46.01,88,53.99,0,0,0,0,17,10.37,84,51.22,0,0,N<10,,10,12.2,10,58.82
2016-17,Educational Service District 112,20,Klickitat,20094,Wishram School District,79,9,11.39,1,1.27,0,0,1,1.27,0,0,7,8.86,53,67.09,9,11.39,53,67.09,26,32.91,0,0,0,0,10,12.5,73,91.25,7,8.75,N<10,,9,21,6,66.67
2016-17,Educational Service District 112,08,Cowlitz,08404,Woodland School District,2260,12,0.53,13,0.58,1,0.04,14,0.62,19,0.84,443,19.6,1699,75.18,73,3.23,1189,52.61,1071,47.39,8,0.35,154,6.77,308,13.53,992,43.59,55,2.42,18,0.79,18,11.6,89,69.53
2016-17,Educational Service District 105,39,Yakima,39007,Yakima School District,16217,139,0.86,62,0.38,15,0.09,77,0.47,136,0.84,12654,78.03,2813,17.35,398,2.45,8218,50.68,7999,49.32,1928,11.98,5388,33.48,2256,14.02,11607,72.12,431,2.68,189,1.17,18,13.4,523,57.85
2016-17,Capital Region ESD 113,34,Thurston,34002,Yelm School District,5848,102,1.74,78,1.33,61,1.04,139,2.38,79,1.35,847,14.48,4063,69.48,618,10.57,3042,52.02,2806,47.98,27,0.47,145,2.51,800,13.85,2408,41.70,209,3.62,66,1.14,19,11.8,199,63.17
2016-17,Educational Service District 105,39,Yakima,39205,Zillah School District,1341,52,3.88,4,0.3,1,0.07,5,0.37,2,0.15,687,51.23,548,40.87,47,3.5,728,54.29,613,45.71,68,5.12,151,11.36,133,10.01,746,56.13,17,1.28,10,0.75,17,16.9,52,67.53
