CaseID,State,City,Address,Latitude,Longitude,Reported Date, Reported Time (military), Reported Time
62,WA,Burien,14405 8TH AVE SW ,47.4738749,-122.3459663,9/6/2017,2:10,2:10 AM
63,WA,Burien,14410 11TH AVE SW,47.4736232,-122.3481057,7/15/2017,14:24,2:24 PM
64,WA,Burien,14424 11TH AVE SW,47.4732125,-122.3482476,5/21/2017,1:51,1:51 AM
65,WA,Burien,14424 11TH AVE SW,47.4732125,-122.3482476,8/5/2017,1:54,1:54 AM
66,WA,Burien,14429 8TH AVE SW,47.4730725,-122.3448704,10/21/2017,21:22,9:22 PM
67,WA,Burien,14429 8TH AVE SW ,47.4730725,-122.3448704,9/20/2017,22:05,10:05 PM
68,WA,Burien,14434 AMBAUM BLVD SW,47.472939,-122.3466596,5/4/2017,13:29,1:29 PM
69,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,1/15/2017,1:21,1:21 AM
70,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,1/27/2017,22:50,10:50 PM
71,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,1/28/2017,22:57,10:57 PM
72,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,1/29/2017,23:20,11:20 PM
73,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,1/30/2017,1:12,1:12 AM
74,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,2/20/2017,0:53,12:53 AM
75,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,3/6/2017,1:53,1:53 AM
76,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,3/20/2017,2:21,2:21 AM
77,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,3/31/2017,2:08,2:08 AM
78,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,5/16/2017,1:47,1:47 AM
79,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,6/4/2017,1:34,1:34 AM
80,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,6/5/2017,2:05,2:05 AM
81,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,6/11/2017,1:24,1:24 AM
82,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,6/13/2017,1:52,1:52 AM
83,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,6/18/2017,2:03,2:03 AM
84,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/9/2017,1:40,1:40 AM
85,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/12/2017,0:31,12:31 AM
86,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/16/2017,1:51,1:51 AM
87,WA,Burien,14445 AMBAUM BLVD SW,47.472709,-122.3476293,7/24/2017,1:56,1:56 AM
